regiao,estado,municipio,coduf,data,semanaEpi,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Sudeste,SP,José Bonifácio,35,2021-06-27,26,5092,0,121,0
Sudeste,SP,Júlio Mesquita,35,2021-06-27,26,189,0,14,0
Sudeste,SP,Jumirim,35,2021-06-27,26,491,0,6,0
Sudeste,SP,Jundiaí,35,2021-06-27,26,43862,187,1360,9
Sudeste,SP,Junqueirópolis,35,2021-06-27,26,1620,0,75,0
Sudeste,SP,Juquiá,35,2021-06-27,26,1666,1,49,0
Sudeste,SP,Juquitiba,35,2021-06-27,26,1720,0,65,0
Sudeste,SP,Lagoinha,35,2021-06-27,26,192,0,7,0
Sudeste,SP,Laranjal Paulista,35,2021-06-27,26,3935,1,106,0
Sudeste,SP,Lavínia,35,2021-06-27,26,858,0,15,0
Sudeste,SP,Lavrinhas,35,2021-06-27,26,302,0,4,0
Sudeste,SP,Leme,35,2021-06-27,26,11690,6,362,0
Sudeste,SP,Lençóis Paulista,35,2021-06-27,26,11316,49,170,0
Sudeste,SP,Limeira,35,2021-06-27,26,16084,11,660,2
Sudeste,SP,Lindóia,35,2021-06-27,26,715,1,17,0
Sudeste,SP,Lins,35,2021-06-27,26,8283,0,264,0
Sudeste,SP,Lorena,35,2021-06-27,26,4531,2,114,0
Sudeste,SP,Lourdes,35,2021-06-27,26,243,1,4,0
Sudeste,SP,Louveira,35,2021-06-27,26,4071,6,86,0
Sudeste,SP,Lucélia,35,2021-06-27,26,1576,0,49,0
Sudeste,SP,Lucianópolis,35,2021-06-27,26,191,0,4,0
Sudeste,SP,Luís Antônio,35,2021-06-27,26,1795,0,28,1
Sudeste,SP,Luiziânia,35,2021-06-27,26,254,0,10,0
Sudeste,SP,Lupércio,35,2021-06-27,26,248,0,7,0
Sudeste,SP,Lutécia,35,2021-06-27,26,198,0,5,0
Sudeste,SP,Macatuba,35,2021-06-27,26,2673,0,54,0
Sudeste,SP,Macaubal,35,2021-06-27,26,675,-2,15,0
Sudeste,SP,Macedônia,35,2021-06-27,26,349,0,19,0
Sudeste,SP,Magda,35,2021-06-27,26,216,1,6,0
Sudeste,SP,Mairinque,35,2021-06-27,26,3711,7,50,0
Sudeste,SP,Mairiporã,35,2021-06-27,26,6321,1,203,1
Sudeste,SP,Manduri,35,2021-06-27,26,788,0,13,0
Sudeste,SP,Marabá Paulista,35,2021-06-27,26,91,0,3,0
Sudeste,SP,Maracaí,35,2021-06-27,26,1941,0,41,0
Sudeste,SP,Marapoama,35,2021-06-27,26,443,1,14,0
Sudeste,SP,Mariápolis,35,2021-06-27,26,210,0,6,0
Sudeste,SP,Marília,35,2021-06-27,26,26297,47,784,1
Sudeste,SP,Marinópolis,35,2021-06-27,26,194,0,3,0
Sudeste,SP,Martinópolis,35,2021-06-27,26,1254,10,65,0
Sudeste,SP,Matão,35,2021-06-27,26,4743,17,164,3
Sudeste,SP,Mauá,35,2021-06-27,26,26312,17,1373,0
Sudeste,SP,Mendonça,35,2021-06-27,26,818,0,28,0
Sudeste,SP,Meridiano,35,2021-06-27,26,307,0,26,0
Sudeste,SP,Mesópolis,35,2021-06-27,26,179,0,2,0
Sudeste,SP,Miguelópolis,35,2021-06-27,26,995,0,72,0
Sudeste,SP,Mineiros do Tietê,35,2021-06-27,26,1191,0,22,0
Sudeste,SP,Miracatu,35,2021-06-27,26,2005,0,59,0
Sudeste,SP,Mira Estrela,35,2021-06-27,26,319,0,11,0
Sudeste,SP,Mirandópolis,35,2021-06-27,26,1939,2,93,0
Sudeste,SP,Mirante do Paranapanema,35,2021-06-27,26,849,0,32,0
Sudeste,SP,Mirassol,35,2021-06-27,26,8548,383,237,0
Sudeste,SP,Mirassolândia,35,2021-06-27,26,532,8,14,0
Sudeste,SP,Mococa,35,2021-06-27,26,5248,1,191,1
Sudeste,SP,Mogi das Cruzes,35,2021-06-27,26,27953,79,1352,1
Sudeste,SP,Mogi Guaçu,35,2021-06-27,26,16275,13,481,0
Sudeste,SP,Mogi Mirim,35,2021-06-27,26,8770,0,298,0
Sudeste,SP,Mombuca,35,2021-06-27,26,376,0,6,0
Sudeste,SP,Monções,35,2021-06-27,26,222,1,5,0
Sudeste,SP,Mongaguá,35,2021-06-27,26,1493,3,79,0
Sudeste,SP,Monte Alegre do Sul,35,2021-06-27,26,577,0,8,0
Sudeste,SP,Monte Alto,35,2021-06-27,26,5227,3,152,0
Sudeste,SP,Monte Aprazível,35,2021-06-27,26,2762,3,72,0
Sudeste,SP,Monte Azul Paulista,35,2021-06-27,26,2158,0,23,0
Sul,SC,Monte Castelo,42,2021-06-27,26,880,0,21,0
Sudeste,SP,Monteiro Lobato,35,2021-06-27,26,241,0,7,0
Sudeste,SP,Monte Mor,35,2021-06-27,26,5393,24,112,0
Sudeste,SP,Morro Agudo,35,2021-06-27,26,4403,0,93,0
Sudeste,SP,Morungaba,35,2021-06-27,26,945,1,19,0
Sudeste,SP,Motuca,35,2021-06-27,26,333,0,9,0
Sudeste,SP,Murutinga do Sul,35,2021-06-27,26,349,0,13,0
Sudeste,SP,Nantes,35,2021-06-27,26,225,0,6,0
Sudeste,SP,Narandiba,35,2021-06-27,26,767,0,21,0
Sudeste,SP,Natividade da Serra,35,2021-06-27,26,179,0,7,0
Sudeste,SP,Nazaré Paulista,35,2021-06-27,26,1380,1,40,0
Sudeste,SP,Neves Paulista,35,2021-06-27,26,1279,2,38,1
Sudeste,SP,Nhandeara,35,2021-06-27,26,1211,3,42,0
Sudeste,SP,Nipoã,35,2021-06-27,26,455,0,15,0
Sudeste,SP,Nova Aliança,35,2021-06-27,26,1014,0,22,0
Sudeste,SP,Nova Campina,35,2021-06-27,26,764,1,25,0
Sudeste,SP,Nova Canaã Paulista,35,2021-06-27,26,233,1,4,0
Sudeste,SP,Nova Castilho,35,2021-06-27,26,76,0,3,0
Sudeste,SP,Nova Europa,35,2021-06-27,26,701,1,28,0
Sudeste,SP,Nova Granada,35,2021-06-27,26,2794,5,67,0
Sudeste,SP,Nova Guataporanga,35,2021-06-27,26,208,0,3,0
Sudeste,SP,Nova Independência,35,2021-06-27,26,392,0,4,0
Sudeste,SP,Novais,35,2021-06-27,26,292,1,11,0
Sudeste,SP,Nova Luzitânia,35,2021-06-27,26,320,1,10,0
Sudeste,SP,Nova Odessa,35,2021-06-27,26,5876,16,172,0
Sudeste,SP,Nuporanga,35,2021-06-27,26,366,0,9,0
Sudeste,SP,Ocauçu,35,2021-06-27,26,352,0,4,0
Sudeste,SP,Óleo,35,2021-06-27,26,97,0,1,0
Sudeste,SP,Olímpia,35,2021-06-27,26,9088,5,230,1
Sudeste,SP,Onda Verde,35,2021-06-27,26,801,0,24,0
Sudeste,SP,Oriente,35,2021-06-27,26,309,4,21,0
Sudeste,SP,Orindiúva,35,2021-06-27,26,1246,0,17,0
Sudeste,SP,Orlândia,35,2021-06-27,26,4213,0,115,0
Sudeste,SP,Osasco,35,2021-06-27,26,39363,56,2252,16
Sudeste,SP,Oscar Bressane,35,2021-06-27,26,270,1,7,0
Sudeste,SP,Osvaldo Cruz,35,2021-06-27,26,3896,3,109,0
Sudeste,SP,Ourinhos,35,2021-06-27,26,12001,30,330,12
Sudeste,SP,Ouroeste,35,2021-06-27,26,1140,1,24,0
Sul,SC,Ouro Verde,42,2021-06-27,26,326,0,11,0
Sudeste,SP,Pacaembu,35,2021-06-27,26,1200,0,30,0
Sudeste,SP,Palmares Paulista,35,2021-06-27,26,1376,3,38,0
Sudeste,SP,Palmeira d'Oeste,35,2021-06-27,26,661,1,13,0
Sul,PR,Palmital,41,2021-06-27,26,1159,1,29,0
Sudeste,SP,Panorama,35,2021-06-27,26,1267,0,43,0
Sudeste,SP,Paraguaçu Paulista,35,2021-06-27,26,4401,25,133,0
Sudeste,SP,Paraibuna,35,2021-06-27,26,1158,-1,40,0
Sul,SC,Paraíso,42,2021-06-27,26,77,4,5,0
Sudeste,SP,Paranapanema,35,2021-06-27,26,1762,4,61,0
Sudeste,SP,Paranapuã,35,2021-06-27,26,397,0,16,0
Sudeste,SP,Parapuã,35,2021-06-27,26,1194,0,32,0
Sudeste,SP,Pardinho,35,2021-06-27,26,717,0,14,0
Sudeste,SP,Pariquera-Açu,35,2021-06-27,26,2171,0,56,0
Sudeste,SP,Parisi,35,2021-06-27,26,387,0,15,0
Sudeste,SP,Patrocínio Paulista,35,2021-06-27,26,895,7,27,0
